rn,D08,R08,D16,R16
0,995,1500,711,1841
1,499,676,162,436
2,555,599,399,780
3,779,699,693,1077
4,373,281,400,870
5,678,1054,773,1777
6,238,154,0,0
7,642,479,160,202
8,372,422,122,247
9,477,601,353,807
10,750,1081,492,961
11,1340,2278,1039,2723
12,690,1423,368,1869
13,545,1164,280,1528
14,883,1814,422,2501
15,492,1055,283,1422
16,399,989,246,1116
17,1087,2442,773,2633
18,485,635,251,640
19,547,721,276,652
20,383,102,229,62
21,774,234,506,142
22,1050,1085,574,1263
23,477,647,285,587
24,972,975,531,1324
25,1344,1240,678,1714
26,1553,1127,1323,1339
27,1157,780,897,895
28,1071,607,817,740
29,2254,1970,1795,2388
30,2003,2871,1677,3015
31,728,776,493,941
32,2567,2272,1984,2964
33,985,1541,476,1796
35,861,841,543,1018
36,799,898,465,1047
37,850,962,594,1111
38,1001,657,685,811
39,1416,710,1047,942
40,1067,505,768,613
41,684,751,454,804
42,475,687,441,622
43,974,1225,576,1438
44,762,673,456,875
45,820,629,386,919
46,603,592,353,802
47,355,421,193,546
48,1241,1098,829,1293
49,337,202,248,253
50,451,354,235,462
51,883,889,528,1087
52,698,632,414,793
53,687,781,370,970
54,481,589,269,687
55,1184,1009,765,1299
57,338,237,217,260
58,665,6,670,28
59,1218,300,2506,678
60,369,57,517,65
61,617,264,846,334
63,1477,458,1277,321
64,650,117,389,89
65,1522,615,1706,706
66,687,127,603,97
67,1335,994,1585,928
68,1370,566,1220,440
69,1821,1046,1718,775
70,1084,572,1010,446
71,448,325,461,260
72,904,755,1665,981
73,2487,2364,2151,1540
74,343,361,654,676
75,1774,1292,1759,975
76,1744,1379,2307,1433
77,2412,1180,2669,625
78,1682,465,1587,468
79,447,216,424,252
80,831,758,889,797
81,1169,404,1144,349
82,2668,1281,2804,1054
83,1231,502,1404,416
84,1061,446,651,235
85,1792,290,1965,212
86,1034,150,1387,172
87,1016,170,1148,146
88,619,567,492,544
89,216,199,375,382
90,373,276,311,217
91,2029,2555,1231,2506
92,716,1501,526,1666
93,405,775,338,740
94,1774,2784,1771,3242
95,628,876,510,908
96,1340,2585,952,2872
97,876,1396,540,1606
98,1832,2492,1643,2833
99,1108,297,1523,271
100,823,108,809,83
101,633,922,390,1179
102,1361,1291,798,1844
104,295,316,177,364
106,1328,1517,780,2002
107,1794,1883,986,2598
110,1501,1940,861,2556
111,2135,2157,1189,2875
112,280,175,107,206
113,900,1418,404,1702
114,427,659,177,839
115,556,949,233,1217
116,903,1535,419,1956
117,429,581,160,710
118,537,861,208,1138
119,1247,1737,724,2317
120,392,561,166,815
121,1730,1751,832,2563
122,319,460,162,557
123,1244,1160,660,1532
124,1172,1304,570,1609
125,279,408,151,544
126,1274,1976,680,2475
127,979,1033,528,1317
128,1650,2092,835,1974
129,715,650,153,247
130,434,350,239,559
131,884,749,633,949
132,1499,1960,986,2127
133,1305,950,1070,1014
134,1256,473,789,503
135,793,709,435,737
136,759,807,507,1211
137,520,409,862,1871
138,920,795,272,494
139,1864,158,2014,140
140,1977,161,2052,130
141,1227,98,1247,88
142,1955,259,1636,190
143,1270,163,1815,186
144,2187,259,1269,188
145,353,29,1523,125
146,750,179,393,77
147,2200,201,3136,207
148,1354,161,1191,118
149,951,70,617,45
150,1131,151,1305,147
151,1769,996,1690,875
152,1373,1268,1222,1128
153,1187,355,1369,359
154,1179,225,1437,228
155,1036,142,563,71
156,675,483,1011,494
157,1281,419,1130,241
158,485,211,418,123
159,1101,492,1373,517
160,1178,314,1477,305
161,1296,259,1647,262
162,1355,227,1884,198
163,957,202,836,155
164,1427,256,1493,215
165,1164,144,1260,154
166,308,66,367,47
167,994,169,1058,132
168,2469,308,2997,259
169,938,192,1210,143
170,1027,191,979,117
171,2897,307,2932,179
172,1003,195,1248,169
173,467,37,720,50
174,1568,329,578,83
175,642,79,688,65
176,312,104,0,0
177,1322,200,1335,126
178,1402,396,2324,473
179,2261,269,2374,158
180,1301,211,1612,138
181,1311,184,2024,143
182,2074,208,2070,121
183,1971,335,2078,228
184,2520,476,2727,385
185,2396,477,2818,434
186,1306,312,1432,182
187,1588,165,1700,149
188,2440,268,2707,219
189,1119,122,1135,109
190,1262,206,1256,119
191,2525,439,2499,307
192,1579,272,1724,187
193,2220,385,2766,329
194,1480,391,1749,406
195,917,295,1182,333
196,992,166,1495,179
197,2373,357,2813,205
198,863,155,610,72
199,1462,205,1184,78
200,555,93,1050,107
201,904,128,533,57
202,1036,200,1197,133
203,2186,497,2070,295
204,1125,241,1467,256
205,1861,463,1629,254
206,951,226,1045,145
207,423,97,653,98
208,361,95,545,63
209,372,83,1004,144
210,399,89,519,62
211,350,79,476,86
212,1247,296,1007,166
213,475,173,1026,202
214,694,161,512,101
215,1073,256,1165,118
216,1050,239,1216,129
217,1075,268,1048,180
218,1598,423,1760,289
219,401,120,0,0
220,2021,460,1734,257
221,3540,763,3324,470
222,380,135,904,108
223,568,167,517,77
224,869,268,666,106
225,500,148,624,98
226,599,95,628,45
227,2182,412,2400,383
228,1463,336,1057,175
229,1313,160,1344,108
230,1843,385,1923,207
231,1501,449,566,91
232,861,270,1038,153
233,670,216,593,67
234,533,141,573,65
235,982,357,576,77
236,1287,428,535,119
237,1035,337,1691,285
238,1160,330,1806,281
239,1079,274,1226,186
240,1313,222,1536,136
241,2442,489,3094,392
242,981,219,1384,181
243,2036,440,1756,260
244,380,128,376,118
245,674,117,585,100
246,2297,689,2166,453
247,861,260,304,77
248,760,186,667,97
249,1350,382,1909,321
250,1128,367,1314,240
251,1188,411,1068,217
252,1140,420,565,124
253,603,259,1524,316
254,1536,516,1434,344
255,955,315,1261,244
256,1103,348,1215,211
257,883,258,894,161
258,1318,450,1512,337
259,1333,449,1854,386
260,2020,740,2860,726
261,692,263,1044,200
262,1251,285,913,183
263,1114,319,1030,170
264,2526,1172,2608,777
265,1349,475,1008,300
266,2044,721,1247,397
267,1742,568,2358,550
268,1956,264,1285,160
269,2154,830,1922,551
270,944,358,2200,597
271,1214,554,1610,499
272,1431,639,1696,524
273,2082,879,2544,805
274,723,289,1224,275
275,801,303,1534,419
276,2054,758,1859,523
277,960,427,1334,485
278,1684,760,933,287
279,753,251,1784,491
280,2682,865,2725,775
282,1053,1121,773,863
283,1644,1267,1898,1528
284,311,261,305,282
285,1531,871,1522,1072
286,1925,1451,1738,1462
287,2255,1825,2108,1603
288,585,473,820,739
289,1430,1166,1545,1548
290,1279,919,987,789
291,1050,896,1264,1089
292,1355,825,1621,1003
293,686,360,636,316
294,1099,668,1566,951
295,1312,640,1128,529
296,1458,665,1367,540
297,705,291,510,196
298,1360,1060,1414,924
299,1358,1049,1570,941
300,2021,1424,2248,1243
301,827,395,693,290
302,1162,1010,1230,840
303,986,442,806,274
304,1064,343,1153,331
305,654,95,696,84
306,802,173,1337,164
307,392,57,480,54
308,1015,208,1082,136
309,1112,372,1649,412
310,715,205,804,196
311,252,77,961,130
312,1074,171,544,67
313,473,72,611,82
314,989,137,1673,182
315,1921,367,2000,202
316,2418,784,2417,648
317,1878,721,2111,753
318,1048,502,1035,414
319,909,353,985,454
320,952,445,965,507
321,844,375,932,485
322,940,352,766,258
323,1104,430,1109,354
324,1365,366,1298,341
325,331,98,540,117
326,901,192,1052,225
327,955,293,955,303
328,764,252,1129,354
329,728,301,750,245
330,1215,357,1398,357
331,779,213,845,192
332,1515,322,1015,147
333,1016,178,1056,133
334,972,198,1053,177
335,1021,164,1180,127
336,1068,201,1261,162
337,1769,410,2045,318
338,1254,287,1110,171
339,750,177,1461,253
340,593,187,502,104
341,647,211,910,192
342,758,189,992,215
343,773,144,956,123
344,719,454,360,206
345,943,408,1117,425
346,827,473,1241,744
347,587,360,609,387
348,1247,821,891,809
349,243,185,313,247
350,720,460,558,484
351,907,475,593,422
352,263,164,347,179
353,1454,806,1837,1159
354,912,328,988,334
355,1509,614,1514,555
356,215,47,533,56
357,1297,304,1255,215
358,1075,291,1082,234
359,656,197,960,277
360,1034,217,1069,270
361,896,162,972,100
362,920,215,1236,211
363,508,76,608,98
364,682,104,725,96
365,1190,147,1490,172
366,445,89,308,44
367,705,104,687,71
368,969,131,1591,171
369,648,82,459,42
370,752,105,890,119
371,838,129,856,84
372,1012,240,1197,224
373,1099,158,1229,142
374,469,69,307,30
375,786,100,338,19
376,752,84,1035,79
377,1031,210,1254,197
378,607,114,594,84
379,505,118,562,106
380,499,118,1024,142
381,447,95,493,54
382,1235,191,1428,137
383,1436,208,1526,144
385,596,123,1072,155
386,401,32,805,58
387,959,134,1138,89
388,1080,135,1677,103
389,689,86,647,31
390,2159,270,2674,229
391,908,118,803,57
392,611,97,1176,98
393,594,48,1087,86
394,893,110,868,69
395,993,94,1455,88
396,1086,93,1229,72
397,1393,128,1301,75
398,1081,155,1421,93
399,1101,128,1245,97
400,758,112,1186,112
401,868,153,1127,139
402,872,219,1165,130
403,442,61,533,48
404,663,76,432,30
405,269,26,1014,66
406,166,18,0,0
407,252,26,374,34
408,484,39,592,42
409,580,49,490,37
410,214,26,304,20
411,434,60,633,62
412,715,67,755,48
413,1503,99,1644,86
414,1425,143,1423,135
415,367,43,319,26
416,1663,132,1564,112
417,727,6,721,26
418,2146,30,1807,60
419,2904,17,1658,28
420,403,92,528,92
421,515,102,1206,148
422,548,113,599,87
423,292,65,568,51
424,713,84,924,56
425,247,27,625,43
426,250,22,1129,91
427,522,24,501,33
428,1164,88,1206,115
429,817,106,1145,95
430,1004,168,1074,100
431,2189,282,2386,238
432,1015,175,524,74
433,1184,202,1776,223
434,1384,146,1147,157
435,1394,235,1831,223
436,1689,227,1747,173
437,1327,215,1107,135
438,757,208,1223,175
439,1277,173,1311,149
440,2356,227,2395,165
441,517,31,493,34
442,241,111,504,148
443,675,199,456,74
444,1097,185,959,119
445,282,67,458,65
446,983,189,1237,166
447,724,109,1149,146
448,1180,242,520,69
449,802,166,1188,205
450,768,27,527,30
451,1993,27,2006,79
452,2973,29,2617,63
453,3043,739,2807,523
454,2749,23,2199,30
455,3075,17,2382,63
456,1367,25,1008,24
457,514,1,0,0
458,1987,11,1995,30
459,2690,16,1891,42
460,2647,20,2018,44
461,2192,41,1890,47
462,2292,30,1966,32
463,2013,9,1441,25
464,794,8,712,15
465,2420,9,1876,25
466,2401,10,1703,33
467,2458,20,2271,42
468,1507,36,565,11
469,2714,11,2916,45
470,1541,9,1820,25
471,1897,5,1008,12
472,612,7,445,10
473,550,3,418,13
474,358,3,0,0
475,812,6,548,2
476,877,5,667,9
477,1300,3,974,8
478,1005,1,547,5
479,1083,4,1043,11
480,677,4,747,10
481,1328,4,795,9
482,684,1,533,4
483,666,6,458,7
484,691,1,681,10
485,255,3,551,13
486,577,2,443,5
487,327,5,549,9
488,1178,396,3104,691
489,406,18,613,36
490,330,3,991,26
491,451,8,0,0
492,1085,267,1135,246
493,552,41,796,56
494,330,48,0,0
495,570,138,675,75
496,676,70,511,60
497,1360,219,1124,165
498,1859,4,1101,11
499,631,2,694,7
501,1226,6,1221,16
502,1156,7,790,15
503,2042,7,1797,21
504,221,13,651,18
505,860,62,813,46
506,577,42,808,43
507,428,38,464,18
508,765,76,880,36
509,188,21,399,32
510,628,53,0,0
511,569,52,800,34
512,683,62,446,20
513,485,63,635,20
514,740,82,868,54
515,569,65,456,31
516,661,72,909,60
517,281,37,674,44
518,421,50,544,33
520,621,53,0,0
521,1077,95,514,29
523,907,100,1116,36
524,1106,123,953,73
525,1850,868,4005,1113
526,613,77,628,102
527,1493,306,641,100
528,6345,1226,8985,1401
529,1834,365,1188,195
530,277,137,232,110
531,254,105,404,167
532,463,224,401,231
533,361,3,684,14
534,908,38,525,30
535,264,0,0,0
536,2658,24,1334,31
537,100,0,1267,23
539,473,5,0,0
540,363,1,837,14
541,1311,13,1160,20
542,1249,11,1184,24
543,533,2,549,12
544,923,3,624,12
545,1207,5,546,8
546,828,5,589,7
549,526,7,1272,22
550,886,4,630,8
551,1149,13,633,18
552,748,22,1250,41
553,1090,9,524,15
554,1483,24,1220,35
555,864,45,523,21
556,1024,46,1347,34
557,3318,148,2969,106
558,998,9,853,13
559,748,2,638,7
560,968,7,588,9
561,1187,3,1123,21
562,660,18,614,18
564,1182,35,0,0
565,816,39,1811,61
566,1368,69,1219,60
567,1084,57,606,22
568,1707,88,2021,98
569,1875,119,1395,62
570,508,34,1270,56
571,740,69,457,18
572,1121,6,1103,22
573,351,7,490,17
574,1014,21,1177,39
575,875,23,502,14
576,952,5,523,7
577,831,4,925,10
578,1396,5,1182,10
579,1159,12,1105,16
580,832,4,453,3
581,2644,11,1569,26
582,1104,12,1220,26
583,2053,8,1617,33
584,1319,6,0,0
585,1145,5,1350,24
586,1652,12,1359,30
587,588,6,918,15
588,1127,25,989,25
589,1461,14,865,20
590,946,4,640,8
591,2699,16,1295,23
592,1327,6,851,19
593,1650,9,1588,24
594,3339,42,2413,74
595,1771,16,1545,23
596,1712,11,1360,16
597,2758,18,1593,26
598,2411,18,2479,46
599,3216,19,2395,42
600,1237,10,1036,20
601,954,2,872,18
602,577,1,500,2
603,1297,10,2200,35
604,2465,16,1923,35
605,1963,85,1687,69
606,297,3,0,0
607,913,27,1253,46
608,2239,27,789,15
609,2178,22,1665,32
610,3147,25,3239,41
611,385,14,308,9
612,614,21,700,18
613,843,52,530,18
614,1913,13,1218,19
615,1653,10,1758,32
616,860,2,959,17
617,941,7,426,11
618,3827,36,2989,80
619,2202,30,1825,46
620,1333,4,957,16
621,491,3,0,0
622,1864,13,1326,24
623,953,0,838,15
624,2054,14,1246,19
625,2468,12,2319,30
626,1911,10,1420,17
627,3376,18,2761,49
628,2592,9,1954,32
629,3007,18,2208,39
630,1311,10,1169,10
631,1797,5,1001,13
632,1466,5,1367,32
633,2642,10,2128,33
634,1255,46,519,6
636,711,199,634,123
637,1620,72,2147,106
638,3367,21,2117,34
639,575,104,601,73
640,262,59,333,28
641,1128,253,905,115
642,1246,309,1586,309
643,677,317,702,252
644,537,171,1100,263
645,807,15,726,18
646,2761,18,1702,29
647,2804,14,2336,39
648,1218,7,1015,13
649,2946,14,2024,37
650,1379,9,1264,15
651,2917,17,1917,43
652,1817,11,1181,23
653,1464,9,1271,4
654,1036,50,894,5
655,1790,993,1367,865
656,539,350,636,287
657,350,76,337,59
658,1502,4,846,18
659,878,312,851,263
660,192,65,390,96
661,259,130,246,112
662,1144,746,1322,963
663,1374,1154,1430,1488
664,1074,981,1174,1214
665,1766,1159,1552,1146
666,307,77,396,68
667,405,124,485,112
668,1017,281,1256,227
669,236,58,348,36
671,628,137,889,142
672,432,85,806,96
673,347,45,450,38
674,736,179,570,83
675,540,102,529,54
676,961,205,1047,119
677,499,82,876,118
678,767,144,527,58
679,219,33,788,66
680,664,141,863,156
681,696,149,405,67
682,354,56,403,81
683,555,262,423,198
684,855,288,788,246
685,208,69,331,122
686,253,44,563,115
687,978,137,1712,181
688,89,21,0,0
689,438,284,367,308
690,575,7,460,26
691,435,24,789,43
692,320,38,0,0
693,273,16,399,24
694,583,50,405,20
695,270,28,398,20
696,277,4,381,10
697,823,12,744,16
698,587,2,358,10
699,1079,7,416,8
700,402,2,392,15
701,319,1,508,8
702,904,195,1096,124
703,642,199,775,164
704,1123,388,1356,310
705,797,161,732,93
706,603,41,375,26
707,455,88,598,69
708,737,98,989,59
709,1164,169,1397,103
710,525,72,790,63
711,1015,115,1116,78
712,780,133,855,69
713,247,113,321,94
714,1365,892,1340,815
715,978,785,748,687
716,879,690,641,550
717,897,487,1070,672
718,831,276,914,267
719,477,113,636,86
720,1028,175,1602,216
721,1515,473,1340,281
722,1016,331,1209,225
723,847,166,1160,126
724,1379,270,1759,193
725,1549,386,1484,310
726,360,17,0,0
727,1083,61,1408,50
728,987,157,1346,147
729,844,150,686,81
730,1927,70,1757,64
731,763,3,766,15
732,1876,55,1465,42
733,2238,139,2152,81
734,3095,46,2622,61
735,1218,98,1137,69
736,972,1,740,16
737,337,2,740,15
738,581,4,352,10
739,1264,6,705,10
740,673,1,711,13
741,377,1,334,2
742,1163,7,321,3
743,669,5,409,3
744,748,6,437,13
745,666,4,773,10
746,515,3,781,11
747,1197,1,778,10
748,1384,4,647,5
749,1833,4,1015,12
750,996,2,809,7
751,1009,6,761,18
752,659,3,310,5
753,2403,4,1578,24
754,780,3,437,4
755,661,0,771,12
756,1918,12,1184,14
757,986,3,1391,19
758,1664,3,789,12
759,1567,10,1348,34
760,1373,8,801,15
761,1530,6,1067,29
762,829,1,845,10
763,1200,6,1327,23
764,532,4,488,9
765,2494,15,1849,39
766,1935,12,1404,30
767,1004,8,408,11
768,1436,8,1493,28
769,1407,6,1392,20
770,2257,13,1275,19
771,1093,9,947,20
772,1544,85,1721,72
773,1258,269,1680,269
774,1390,536,1247,299
775,1386,745,1543,570
776,2079,204,2148,181
777,1706,144,1875,150
778,4062,125,3575,113
779,1735,102,1875,95
780,778,3,370,4
781,2292,12,2167,34
782,864,4,537,8
783,3409,12,2884,40
784,2095,8,1943,35
785,1272,10,884,11
786,1927,11,600,9
787,3074,12,2422,43
788,455,4,881,11
789,1645,14,1401,20
790,1933,11,1402,11
791,3196,14,2887,40
792,1286,1,900,16
793,1350,9,1269,16
794,904,5,901,9
795,2023,520,1517,425
796,1975,383,1989,332
797,1465,518,1357,344
798,522,404,505,408
799,733,579,539,420
800,644,247,631,245
801,1813,341,1886,304
802,1811,9,1337,28
803,3131,23,2433,54
804,2766,18,1958,25
805,439,7,510,11
806,2560,14,2022,31
807,2828,21,2634,40
808,2348,13,1989,33
809,1643,8,1037,12
810,750,820,673,912
811,1226,1794,1083,1877
812,1161,1485,921,1656
813,1178,1159,923,1419
814,2370,5,1849,25
815,1714,384,1645,337
816,1105,896,939,850
817,1116,497,849,278
818,3558,267,3132,239
819,2509,14,2165,23
820,623,278,748,425
821,886,763,985,1093
822,620,358,341,218
823,1164,832,824,680
824,1714,1401,1812,1615
825,2627,1663,2646,1883
826,716,383,428,238
827,405,144,384,129
828,821,542,572,351
829,834,651,1100,777
830,390,560,378,617
831,752,478,967,657
832,988,806,602,602
833,738,543,572,689
834,1085,476,1344,390
835,2661,887,2557,584
836,1003,751,1019,498
837,1402,1130,1550,734
838,1526,1281,1430,707
839,359,502,406,316
840,1990,1671,2214,1059
841,740,572,897,565
842,1856,698,1592,485
843,1819,848,2157,680
844,1808,680,1768,412
845,1501,887,1346,502
846,1726,664,2480,584
847,993,547,1029,437
848,2079,1113,2176,907
849,1711,719,1719,662
850,677,374,749,395
851,2201,1159,2267,954
852,2150,1254,2208,986
853,1497,1044,1781,1068
854,2059,1205,2201,1066
855,1542,1097,1614,696
856,1278,812,1389,655
857,2016,1833,2204,1402
858,1264,1013,1281,816
859,878,828,915,661
860,1278,835,1830,857
861,656,542,687,467
862,1182,582,1045,584
863,1177,824,895,450
864,1319,1295,1531,967
865,1614,1073,2200,1080
866,1098,519,712,379
867,459,218,434,235
868,1360,653,1336,687
869,1596,732,1422,808
870,1604,766,1697,802
871,766,338,848,444
872,641,305,570,238
873,1634,1398,2589,2109
874,293,304,0,0
875,1746,1475,1544,1309
876,792,297,841,409
877,597,442,0,0
878,1722,1120,1470,952
879,1036,736,1069,797
880,1398,1092,1030,643
881,1884,1239,2090,1252
882,2050,1968,2408,1743
883,813,540,968,644
884,1659,907,1329,784
885,1319,1199,1704,1210
886,1292,828,1262,704
887,831,410,606,330
888,1628,954,1697,1185
889,407,215,388,252
890,1154,1021,1474,1278
891,636,461,476,331
892,1394,1057,1086,730
893,1089,949,1167,766
894,1415,1356,1391,1035
895,1473,935,1541,842
896,1620,1417,1744,1128
897,1954,1581,2103,1249
898,1617,1872,1812,1820
899,1614,1233,1595,1111
900,1304,995,1759,1137
901,672,262,1026,409
902,1810,1339,1462,1026
903,1542,1350,1709,1276
904,1624,1135,2212,1490
905,867,396,880,429
906,583,226,366,142
907,261,219,0,0
908,1824,1515,1944,1323
909,1588,1037,1473,984
910,1160,911,1183,891
911,904,642,858,644
912,996,762,906,731
913,1811,2251,1951,1949
914,1208,917,954,671
915,1591,1328,1671,1209
916,1412,1260,1904,1313
917,438,232,0,0
918,694,800,707,645
919,1766,2709,2226,2722
920,1553,1659,1579,1437
921,1474,773,1402,815
922,584,302,406,198
923,1307,687,1344,818
924,574,285,781,412
925,2366,1334,2764,1807
926,1618,1096,1952,1205
927,1269,830,1052,593
928,765,474,1327,615
929,565,158,357,104
930,1176,566,1279,681
931,952,581,857,676
932,1198,935,1124,836
933,2257,1488,2589,1702
934,558,253,539,285
935,566,269,463,202
936,683,237,827,255
937,439,131,521,158
938,864,401,1121,578
939,2065,1454,1877,1467
940,1987,1287,1887,1423
941,1119,620,1123,595
942,1398,993,1350,868
943,466,264,509,251
944,1494,1017,1369,1026
945,1774,869,2208,994
946,1071,460,939,497
947,874,519,315,152
948,1117,656,1302,663
949,1503,904,1680,1083
950,1115,437,1324,614
951,1481,781,1791,933
952,651,302,754,411
953,1127,664,848,537
954,685,229,852,312
955,1380,610,1208,528
956,1114,778,1701,1203
957,1453,695,1122,540
958,1814,1149,1344,908
959,999,434,769,331
960,1247,752,1316,697
961,541,365,303,235
962,1235,896,1388,1126
963,1708,1168,1357,1068
964,1716,1106,2014,1102
965,1531,1259,1758,1367
966,1556,1378,1228,903
967,1200,663,1199,702
968,534,319,640,299
969,693,607,652,574
970,852,421,759,436
971,907,476,1073,528
972,873,821,828,739
973,1398,1240,1420,1107
974,1163,563,999,587
975,678,390,783,455
976,1102,679,1141,735
977,781,518,827,500
978,480,298,465,339
979,1246,649,1219,691
980,682,642,632,579
981,1359,1089,1546,1367
982,1069,1062,687,671
983,914,976,1086,818
984,1560,1164,1636,923
985,1562,1297,1694,1203
986,505,549,593,475
987,655,783,666,686
988,1293,1072,2120,1464
989,1645,1073,1713,1010
990,1314,1256,1224,1132
991,932,445,1529,672
992,1303,498,861,423
993,1114,367,843,303
994,1656,810,1818,1171
995,864,417,897,505
996,1402,1117,1462,1034
997,726,319,830,398
998,951,461,1181,554
999,1368,857,1351,828
1000,1229,754,1277,751
1001,650,438,665,421
1002,435,124,506,155
1003,872,502,1186,593
1004,819,478,690,465
1005,1680,563,1904,381
1006,1518,475,1847,614
1007,1219,472,1415,415
1008,1495,568,1359,479
1009,1112,383,1028,379
1010,1502,691,1505,452
1011,1991,638,2159,517
1012,1833,721,2451,800
1013,1494,508,1612,490
1014,1209,446,1316,338
1015,1768,688,2024,669
1016,1805,816,1541,620
1017,737,484,759,453
1018,1105,841,917,628
1019,962,540,1374,638
1020,1225,697,1327,690
1021,910,785,1185,876
1022,1166,776,977,720
1023,1879,934,1533,618
1024,735,389,1109,475
1025,1030,602,1346,644
1026,1217,653,1273,598
1027,558,499,855,513
1028,483,69,1931,141
1029,1981,354,2545,256
1030,2383,449,1033,125
1031,1733,516,2957,357
1032,1684,258,2332,212
1033,1867,31,1778,47
1034,1192,178,930,69
1035,2164,387,1843,176
1036,1723,260,2091,190
1037,1644,110,2167,113
1038,1661,141,1256,64
1039,1069,97,996,61
1040,1471,210,1510,149
1041,2395,359,2670,245
1042,1939,212,2076,177
1043,1844,158,2739,209
1044,2663,231,1982,126
1045,1150,138,1202,91
1046,1601,1411,1582,1172
1047,1289,1109,1463,1648
1048,888,547,954,909
1049,901,558,705,543
1050,739,443,977,514
1051,622,406,474,331
1052,1284,839,1329,819
1053,1456,1015,1236,754
1054,892,836,1253,1059
1055,1048,656,1053,756
1056,933,633,1036,802
1057,1064,421,1556,641
1058,802,342,388,68
1059,843,389,1113,591
1060,783,446,777,420
1061,1244,602,663,356
1062,970,597,925,705
1063,879,408,1288,612
1064,869,448,918,432
1065,1288,710,1108,549
1066,1610,961,1660,685
1067,2395,1144,2622,744
1068,1910,192,1985,151
1069,2102,509,2112,328
1070,1201,265,1432,181
1071,1520,337,2021,296
1072,1889,476,1243,168
1073,1790,200,2176,155
1074,1873,209,1663,155
1075,1655,297,2143,236
1076,1559,255,1636,193
1077,776,124,456,57
1078,2361,463,2549,274
1079,1917,245,2600,214
1080,2126,309,1306,150
1081,1901,390,2693,320
1082,206,40,0,0
1083,637,78,1074,83
1084,1122,277,1743,213
1085,1327,350,1630,233
1086,698,119,639,60
1087,562,83,419,32
1088,270,46,658,51
1089,444,74,560,53
1090,635,162,295,35
1091,851,179,808,104
1092,313,70,451,49
1093,1222,275,2178,251
1094,1112,188,1819,275
1095,678,241,1099,152
1096,1160,459,1698,422
1097,959,419,947,251
1098,1078,276,1255,219
1099,879,269,1337,248
